                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5497,                 2.9812,                 1.2294,                0.00373,                0.84848,                0.16276,                0.07519,                 1.0413,                 3.6463,                0.98851,             0.00065152,             0.00065152,             0.00065152
                      1,                 1.6608,                 2.1895,                 1.2897,                0.01991,                0.05303,                0.01177,                0.00656,                  1.383,                 3.8926,                 1.1762,              0.0013051,              0.0013051,              0.0013051
                      2,                 1.7309,                 2.0296,                 1.3132,                0.51172,                0.35728,                0.35557,                0.21549,                 1.4248,                 2.6857,                 1.1367,              0.0019455,              0.0019455,              0.0019455
                      3,                 1.7383,                 1.8464,                  1.356,                0.11696,                 0.2589,                0.11681,                0.06245,                 1.3798,                 3.5091,                 1.3038,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.7455,                 1.6872,                 1.3642,                0.78228,                 0.5444,                0.68486,                0.37794,                 1.4414,                  2.265,                 1.3702,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7437,                 1.5332,                 1.3147,                0.58926,                0.56818,                0.55135,                0.26575,                 1.4276,                 1.9396,                 1.2305,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7295,                 1.5427,                 1.3342,                0.70372,                0.61179,                0.69055,                0.41021,                 1.3288,                 1.4212,                 1.2606,               0.001901,               0.001901,               0.001901
                      7,                 1.6786,                 1.4179,                 1.3045,                0.69686,                0.57576,                0.62884,                0.37205,                 1.3939,                 1.4702,                 1.2145,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6712,                 1.3285,                 1.3158,                0.57034,                0.69697,                0.59389,                0.35814,                 1.3089,                 1.4464,                 1.1847,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6741,                 1.3354,                 1.2812,                0.75232,                0.68182,                0.72055,                0.35686,                 1.4304,                 1.3719,                 1.2429,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6922,                 1.3073,                 1.2899,                0.74722,                0.59091,                0.68864,                0.41143,                 1.2869,                 1.5313,                  1.254,              0.0018218,              0.0018218,              0.0018218
