                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6117,                 2.8879,                 1.2556,                 0.3001,                0.62879,                0.24657,                0.14328,                 1.2539,                 2.4983,                 1.1103,               0.000659,               0.000659,               0.000659
                      1,                  1.823,                 1.6774,                 1.4727,                0.46938,                0.43939,                0.35237,                0.18667,                 1.4393,                 3.0688,                 1.3307,              0.0013191,              0.0013191,              0.0013191
                      2,                 1.8551,                 1.7234,                 1.4976,                0.39692,                0.32576,                0.31243,                0.15972,                 2.0187,                 2.3935,                 1.8752,              0.0019726,              0.0019726,              0.0019726
                      3,                 1.9228,                 1.8679,                 1.5267,                0.59163,                0.53788,                0.57322,                0.27429,                 1.6658,                 2.0671,                 1.3669,              0.0019703,              0.0019703,              0.0019703
                      4,                 1.8495,                 1.5953,                 1.4817,                0.67574,                0.53788,                0.59168,                0.32974,                 1.5994,                 1.5932,                 1.4381,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.8273,                 1.5422,                 1.4999,                0.67243,                0.50758,                0.53112,                0.31238,                 1.5342,                 1.9299,                 1.4368,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.8351,                 1.4649,                 1.5019,                0.69171,                0.58333,                0.63913,                0.33767,                 1.4313,                 1.5895,                 1.3943,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.7883,                 1.4355,                 1.4697,                0.82764,                0.69116,                0.74431,                0.38028,                 1.5111,                 1.3858,                 1.4275,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.7734,                 1.3928,                 1.4549,                0.80591,                 0.7235,                0.79487,                0.47693,                 1.2791,                 1.1853,                 1.2699,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.7479,                 1.3702,                 1.4332,                0.73023,                0.66667,                0.75205,                0.36762,                 1.5237,                 1.4832,                 1.3913,              0.0019208,              0.0019208,              0.0019208
                     10,                  1.753,                 1.4072,                 1.4215,                0.73212,                0.76515,                 0.7743,                0.45917,                 1.3731,                 1.1794,                 1.3125,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.7274,                 1.3022,                 1.4524,                0.80713,                0.69748,                0.76511,                0.46394,                 1.2793,                 1.2057,                 1.2774,               0.001901,               0.001901,               0.001901
                     12,                 1.6793,                 1.2438,                 1.3609,                 0.8324,                0.67727,                0.78613,                0.45768,                 1.3675,                 1.1836,                 1.2782,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.6869,                 1.2351,                 1.4055,                0.83436,                0.72504,                0.75822,                 0.4727,                 1.2635,                 1.1037,                 1.2681,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.6614,                  1.226,                 1.3823,                 0.8693,                0.75585,                0.80331,                0.48786,                 1.3126,                 1.1452,                 1.3037,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.6383,                 1.2264,                 1.3498,                0.78291,                0.71037,                0.76941,                0.49677,                 1.1935,                 1.1363,                 1.2162,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.6236,                 1.2015,                 1.3741,                0.88322,                0.74242,                0.81181,                 0.4847,                 1.2411,                 1.1132,                 1.2279,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.6457,                  1.158,                 1.3791,                0.85178,                0.72727,                0.81851,                0.49842,                 1.2952,                 1.0892,                  1.292,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.6846,                 1.1381,                 1.3532,                0.87694,                0.75758,                0.82612,                0.52154,                 1.2628,                 1.0259,                 1.2543,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.5858,                 1.0786,                 1.3405,                0.84794,                0.79545,                0.84024,                0.54255,                 1.1791,                0.96498,                  1.219,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.5965,                 1.0702,                 1.3527,                0.85137,                0.78788,                0.82942,                0.50402,                 1.3277,                 1.0686,                 1.2809,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.5982,                 1.0907,                 1.3301,                 0.8692,                0.75514,                0.83004,                 0.5139,                 1.2186,                0.99444,                 1.2338,               0.001802,               0.001802,               0.001802
                     22,                 1.5695,                 1.1041,                 1.3275,                0.86852,                0.76515,                0.83071,                0.54423,                   1.16,                0.98016,                 1.2207,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.5161,                 1.0224,                 1.3092,                0.82894,                0.80764,                0.84111,                0.54064,                 1.1819,                0.96029,                 1.1922,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.5413,                  1.059,                  1.279,                0.82479,                0.82026,                0.86567,                0.53949,                 1.1452,                0.90656,                 1.2138,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.5396,                 1.0344,                 1.3139,                0.86182,                0.78788,                0.82859,                 0.5351,                 1.1217,                0.93884,                 1.1818,              0.0017624,              0.0017624,              0.0017624
                     26,                  1.506,                  1.031,                 1.3141,                0.85149,                0.79545,                0.85066,                0.55967,                 1.1709,                0.95743,                  1.187,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.5095,                0.97312,                 1.3063,                0.85485,                0.81061,                0.84857,                0.56832,                  1.136,                0.86324,                 1.1962,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.4885,                0.96321,                 1.2917,                0.90234,                0.78788,                 0.8578,                0.55507,                 1.1202,                0.89617,                 1.1737,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.4936,                 1.0031,                 1.3093,                0.91012,                0.76712,                0.85587,                0.55777,                 1.1617,                0.86177,                 1.1945,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.4998,                0.98359,                 1.3209,                0.85591,                0.80303,                 0.8567,                0.56747,                 1.1085,                0.87482,                 1.1828,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.4827,                0.99753,                 1.2557,                0.87331,                0.77273,                 0.8358,                0.54934,                 1.1158,                0.92819,                 1.1646,               0.001703,               0.001703,               0.001703
                     32,                 1.4825,                0.95416,                 1.2925,                0.90109,                0.75919,                0.84492,                 0.5616,                 1.1616,                0.88218,                 1.1957,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.4982,                0.96807,                 1.2838,                 0.8174,                0.80303,                0.82749,                0.53169,                 1.1266,                0.94332,                 1.1849,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.4659,                 0.9364,                 1.2612,                0.85476,                0.81061,                0.84225,                0.55281,                 1.1638,                0.93234,                 1.1745,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.4406,                0.96724,                 1.2358,                0.92056,                0.81061,                0.85632,                0.56339,                 1.1187,                0.86391,                 1.1361,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.4633,                0.92268,                 1.2754,                0.88796,                0.78057,                0.84366,                0.55501,                 1.1941,                0.92379,                 1.2253,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4607,                0.92138,                 1.2801,                0.89909,                0.81061,                0.87091,                0.58779,                  1.107,                0.81398,                 1.1607,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.4598,                0.89298,                 1.2329,                0.87914,                 0.7803,                0.82041,                0.54925,                 1.1223,                0.86827,                 1.1844,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4486,                0.94354,                 1.2856,                0.88579,                0.70506,                0.80986,                0.54127,                 1.1926,                 0.9509,                 1.2029,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4223,                0.91708,                  1.278,                0.87221,                0.82731,                0.84227,                0.53705,                 1.1505,                0.85462,                 1.2069,              0.0016139,              0.0016139,              0.0016139
                     41,                  1.427,                0.86495,                 1.2519,                0.86251,                0.81818,                0.86108,                0.56237,                 1.1455,                0.82622,                 1.2016,               0.001604,               0.001604,               0.001604
                     42,                 1.4052,                0.89758,                 1.2253,                0.91432,                0.80848,                0.84584,                0.55741,                 1.1244,                0.86637,                 1.1905,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4044,                0.87002,                 1.2279,                0.91572,                0.76515,                0.85246,                0.56341,                 1.1683,                0.89768,                 1.2136,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.4285,                0.88805,                 1.2736,                0.90603,                0.79545,                0.85394,                0.55738,                 1.1086,                0.84573,                 1.1592,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.3578,                0.83429,                 1.2141,                 0.8386,                0.80303,                0.83913,                0.54804,                 1.1468,                0.85328,                 1.1896,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.4092,                 0.8946,                 1.2548,                0.89705,                0.79214,                0.86097,                0.55302,                 1.1835,                0.82107,                 1.2142,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.3859,                0.86975,                 1.2351,                0.85584,                0.80959,                0.86039,                0.55156,                 1.1277,                0.80668,                 1.2066,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.4041,                 0.8607,                 1.2341,                0.87352,                0.73251,                0.84852,                0.53843,                  1.202,                0.90153,                  1.213,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.3878,                0.86716,                  1.235,                0.92928,                0.79637,                0.86101,                0.56169,                 1.1414,                0.83744,                 1.1797,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.3613,                0.82148,                 1.2444,                0.89547,                0.81818,                0.86544,                 0.5608,                 1.1711,                0.81469,                 1.2068,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.3971,                0.84986,                 1.2601,                0.85914,                0.78552,                0.82984,                0.53972,                 1.1829,                0.84888,                 1.2143,               0.001505,               0.001505,               0.001505
                     52,                 1.3665,                   0.85,                 1.2351,                0.93116,                0.78788,                0.86991,                0.55784,                  1.181,                0.80302,                 1.2256,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.3724,                0.83611,                 1.2274,                0.94545,                0.78774,                0.86488,                0.55155,                 1.1785,                0.79753,                 1.2138,              0.0014852,              0.0014852,              0.0014852
                     54,                   1.38,                0.82348,                   1.24,                0.85873,                0.82889,                0.85783,                0.54988,                 1.2322,                0.83849,                 1.2383,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.3398,                0.81542,                 1.2316,                0.89611,                0.81818,                0.88633,                0.55409,                 1.1868,                0.76879,                 1.2246,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3585,                0.79204,                 1.2176,                0.90535,                0.80303,                0.86457,                0.58315,                 1.1969,                0.81257,                 1.2365,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.3555,                0.80893,                 1.2251,                0.87718,                0.81158,                0.83692,                0.52091,                 1.2739,                0.85337,                 1.2858,              0.0014456,              0.0014456,              0.0014456
                     58,                  1.359,                0.79162,                 1.2312,                 0.8955,                0.81818,                0.86194,                 0.5477,                 1.1323,                0.84187,                 1.1886,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2816,                0.77799,                 1.1793,                0.89461,                0.77173,                0.84115,                0.55282,                 1.1808,                0.83631,                 1.1858,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.3089,                0.79252,                  1.194,                0.89961,                0.83333,                0.86396,                0.55973,                 1.1622,                0.74082,                 1.1945,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.3336,                0.77916,                 1.2164,                0.85141,                0.84091,                 0.8605,                0.54864,                 1.1873,                0.79412,                 1.2196,               0.001406,               0.001406,               0.001406
                     62,                 1.2694,                0.75735,                 1.1748,                0.90198,                0.84091,                0.89595,                 0.6033,                 1.0991,                0.72486,                 1.1455,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2633,                0.76129,                 1.1502,                0.87434,                0.81818,                0.86121,                0.55634,                 1.1666,                0.80614,                 1.1745,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.2578,                0.74994,                 1.1965,                0.90899,                 0.7803,                0.85429,                0.58379,                   1.09,                0.78616,                  1.143,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2983,                0.75836,                 1.1972,                0.92125,                0.82576,                0.85905,                0.55806,                 1.1162,                0.76667,                 1.1705,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3042,                0.74962,                   1.17,                0.89604,                0.81818,                0.86485,                0.58264,                 1.1628,                  0.771,                  1.206,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2966,                0.75789,                 1.1901,                0.86227,                0.75758,                0.84346,                0.54952,                 1.1496,                 0.8283,                 1.2265,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.2611,                 0.7372,                 1.1572,                 0.9238,                0.77273,                 0.8668,                0.56149,                 1.1299,                0.76325,                 1.1751,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.2383,                0.70907,                 1.1428,                0.88999,                0.79545,                0.83709,                0.54249,                 1.1632,                 0.7869,                  1.197,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.2767,                 0.7263,                 1.1745,                0.90095,                   0.75,                0.83151,                0.51742,                 1.2795,                 0.8218,                 1.2492,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2693,                0.72538,                 1.1924,                0.87184,                 0.8246,                0.85216,                0.53496,                 1.2138,                0.80018,                 1.2299,               0.001307,               0.001307,               0.001307
                     72,                 1.2494,                0.75441,                 1.1718,                0.92788,                0.77273,                 0.8621,                0.53941,                 1.2193,                0.81491,                 1.2029,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2696,                0.71851,                  1.171,                0.89572,                0.78087,                0.85035,                 0.5337,                  1.251,                0.85195,                 1.2126,              0.0012872,              0.0012872,              0.0012872
